Date;Time of day;Germany/Luxembourg[€/MWh];Denmark 1[€/MWh];Denmark 2[€/MWh];France[€/MWh];Northern Italy[€/MWh];Netherlands[€/MWh];Poland[€/MWh];Sweden 4[€/MWh];Switzerland[€/MWh];Slovenia[€/MWh];Czech Republic[€/MWh];Hungary[€/MWh];Austria[€/MWh];DE/AT/LU[€/MWh];Belgium[€/MWh];Norway 2[€/MWh]
Jan 2, 2021;12:00 AM;46.69;46.69;46.69;46.69;46.69;46.69;39.3;25.59;53.24;0.18;44.1;44.1;46.69;-;46.69;25.59
Jan 2, 2021;1:00 AM;42.43;42.43;42.43;42.43;42.43;42.43;39.37;24.91;49.66;0.17;38.54;38.54;42.43;-;42.43;24.91
Jan 2, 2021;2:00 AM;41.09;41.09;41.09;41.09;41.09;41.09;38.68;24.74;46.04;0.16;38.08;38.08;41.09;-;41.09;24.74
Jan 2, 2021;3:00 AM;40;40;40;40;40;40;37.1;24.66;43.49;0.92;37.1;37.1;40;-;40;24.66
Jan 2, 2021;4:00 AM;37.55;37.55;37.55;37.55;37.55;37.55;37.83;24.72;42.04;0.2;36.88;36.88;37.55;-;37.55;24.72
Jan 2, 2021;5:00 AM;39;39;39;39;39;39;38.53;24.92;42.85;1;37.2;37.2;39;-;39;24.92
Jan 2, 2021;6:00 AM;42.09;42.09;42.09;42.09;42.09;42.09;38.95;30.05;45.26;0.15;40.56;40.56;42.09;-;42.09;25.62
Jan 2, 2021;7:00 AM;44.96;44.96;44.96;44.96;46.57;44.96;44.31;26.19;49.16;1.01;45.2;45.2;44.96;-;44.96;26.19
Jan 2, 2021;8:00 AM;48.45;48.45;48.45;48.45;51.33;48.45;43.3;43.3;53.27;43;49.67;49.67;48.45;-;48.45;26.7
Jan 2, 2021;9:00 AM;52;52;52;52;54.6;52;47.85;47.85;58.83;43.1;55.43;55.43;52;-;52;26.89
Jan 2, 2021;10:00 AM;52;52;52;52;53.17;52;50.75;50.75;59.45;52;57.33;57.33;52;-;52;27.7
Jan 2, 2021;11:00 AM;52.15;52.15;52.15;52.15;52.15;52.15;50.9;50.9;59.75;52.15;57.4;57.4;52.15;-;52.15;28.09
Jan 2, 2021;12:00 PM;55.95;55.95;55.95;55.95;55.95;55.95;53.75;53.75;60.19;55.95;56.9;56.9;55.95;-;55.95;27.84
Jan 2, 2021;1:00 PM;52;52;52;52;52;52;50.75;50.75;59.19;52;55.3;55.3;52;-;52;27.84
Jan 2, 2021;2:00 PM;50.69;50.69;50.69;50.69;52;50.69;49.48;49.48;57.76;50.69;55;55;50.69;-;50.69;27.91
Jan 2, 2021;3:00 PM;53.45;53.45;53.45;53.45;53.89;53.45;52.16;52.16;59.17;53.45;56.32;56.32;53.45;-;53.45;28.08
Jan 2, 2021;4:00 PM;59.99;59.99;59.99;59.99;59.99;59.99;58.88;58.88;61.71;59.99;63.1;63.1;59.99;-;59.99;28.85
Jan 2, 2021;5:00 PM;62;62;62;62;62;62;60.51;60.51;64.53;62;65.58;67.49;62;-;62;28.93
Jan 2, 2021;6:00 PM;63.08;63.08;63.08;63.08;63.08;63.08;61.56;61.56;64.79;63.08;65.22;66.99;63.08;-;63.08;28.53
Jan 2, 2021;7:00 PM;62.17;62.17;62.17;62.17;62.17;62.17;56.17;56.17;64.08;62.17;62.25;63.45;62.17;-;62.17;28.51
Jan 2, 2021;8:00 PM;60.03;60.03;60.03;60.03;60.03;60.03;55.01;55.01;61.47;60.03;57.92;57.92;60.03;-;60.03;27.38
Jan 2, 2021;9:00 PM;55.03;55.03;55.03;55.03;55.03;55.03;52.6;52.6;58.58;55.03;53.25;53.25;55.03;-;55.03;26.96
Jan 2, 2021;10:00 PM;52.25;52.25;52.25;52.25;52.25;52.25;47.13;47.13;57.88;43.1;52.78;52.78;52.25;-;52.25;26.85
Jan 2, 2021;11:00 PM;48.45;48.45;48.45;48.45;48.45;48.45;39.56;39.56;56.03;1.06;48.08;48.08;48.45;-;48.45;25.94
Jan 3, 2021;12:00 AM;46.11;46.11;46.11;46.11;46.11;46.11;34.13;25.27;48.95;46.11;39.01;39.01;46.11;-;46.11;25.27
Jan 3, 2021;1:00 AM;43;41.59;41.59;43;43;43;38.64;24.59;42.03;43;38.61;28.55;43;-;43;24.59
Jan 3, 2021;2:00 AM;39.55;37.21;37.21;39.55;39.55;39.55;38.56;23.86;39.8;39.55;35.5;20.41;39.55;-;39.55;23.86
Jan 3, 2021;3:00 AM;35.18;35.18;35.18;37.44;37.44;45.3;37.32;23.57;36.77;35.93;34;23.91;35.93;-;38.63;23.57
Jan 3, 2021;4:00 AM;33.45;24.65;24.65;35.64;35.64;43;35.83;23.49;34.87;33.96;35.5;20;33.96;-;36.74;23.49
Jan 3, 2021;5:00 AM;32.37;23.85;23.85;35.5;35.5;43;36.16;23.85;35.26;33.41;33.83;26.04;33.41;-;37.17;23.85
Jan 3, 2021;6:00 AM;31.7;24.05;24.05;36.14;36.14;42;38.34;24.05;36.45;33.17;31.07;28.78;33.17;-;39.27;24.05
Jan 3, 2021;7:00 AM;32.63;24.8;24.8;36.97;36.97;45.3;39.32;24.8;41.01;34.07;34.5;34.5;34.07;-;40.02;24.8
Jan 3, 2021;8:00 AM;36.9;24.97;24.97;38.92;41.07;43.32;39.12;24.97;42.8;37.56;37.5;37.5;37.56;-;40;24.97
Jan 3, 2021;9:00 AM;36.96;25.65;25.65;44.49;44.49;60.9;38.64;25.65;49.06;39.4;39.01;39.01;39.4;-;48.5;25.65
Jan 3, 2021;10:00 AM;36.96;26;26;49;49;72.23;36.64;26;50.14;40.8;41.2;41.2;40.8;-;55.51;26
Jan 3, 2021;11:00 AM;43.72;26.07;26.89;50.3;50.3;62.16;36.73;26.89;50.8;45.78;43.51;43.51;45.78;-;53.94;26.07
Jan 3, 2021;12:00 PM;47.71;25.87;25.87;52.04;52.04;60.9;36.83;25.87;52.65;49.11;43.04;43.04;49.11;-;54.34;25.87
Jan 3, 2021;1:00 PM;40.41;25.83;25.83;46.64;46.64;59;36.31;25.83;50.31;42.41;42.34;42.34;42.41;-;49.98;25.83
