Time (CET/CEST),Day-ahead Total Load Forecast [MW] - BZN|FR
01.01.2019 00:00:00,63450.0
01.01.2019 01:00:00,60800.0
01.01.2019 02:00:00,59950.0
01.01.2019 03:00:00,56400.0
01.01.2019 04:00:00,53550.0
01.01.2019 05:00:00,52200.0
01.01.2019 06:00:00,52150.0
01.01.2019 07:00:00,52200.0
01.01.2019 08:00:00,52050.0
01.01.2019 09:00:00,52200.0
01.01.2019 10:00:00,54250.0
01.01.2019 11:00:00,56350.0
01.01.2019 12:00:00,58800.0
01.01.2019 13:00:00,59400.0
01.01.2019 14:00:00,56550.0
01.01.2019 15:00:00,53900.0
01.01.2019 16:00:00,53650.0
01.01.2019 17:00:00,56650.0
01.01.2019 18:00:00,61150.0
01.01.2019 19:00:00,63200.0
01.01.2019 20:00:00,62600.0
01.01.2019 21:00:00,60450.0
01.01.2019 22:00:00,59500.0
01.01.2019 23:00:00,62950.0
02.01.2019 00:00:00,60600.0
02.01.2019 01:00:00,58000.0
02.01.2019 02:00:00,57400.0
02.01.2019 03:00:00,55250.0
02.01.2019 04:00:00,54700.0
02.01.2019 05:00:00,56600.0
02.01.2019 06:00:00,60450.0
02.01.2019 07:00:00,65000.0
02.01.2019 08:00:00,69050.0
02.01.2019 09:00:00,70900.0
02.01.2019 10:00:00,72600.0
02.01.2019 11:00:00,73150.0
02.01.2019 12:00:00,74050.0
02.01.2019 13:00:00,73800.0
02.01.2019 14:00:00,71600.0
02.01.2019 15:00:00,69250.0
02.01.2019 16:00:00,68450.0
02.01.2019 17:00:00,71350.0
02.01.2019 18:00:00,75400.0
02.01.2019 19:00:00,76950.0
02.01.2019 20:00:00,73500.0
02.01.2019 21:00:00,69650.0
02.01.2019 22:00:00,68150.0
02.01.2019 23:00:00,70750.0
03.01.2019 00:00:00,66850.0
03.01.2019 01:00:00,63850.0
03.01.2019 02:00:00,62750.0
03.01.2019 03:00:00,60150.0
03.01.2019 04:00:00,59000.0
03.01.2019 05:00:00,60400.0
03.01.2019 06:00:00,64000.0
03.01.2019 07:00:00,68750.0
03.01.2019 08:00:00,72400.0
03.01.2019 09:00:00,73900.0
03.01.2019 10:00:00,75350.0
03.01.2019 11:00:00,75800.0
03.01.2019 12:00:00,76650.0
03.01.2019 13:00:00,76150.0
03.01.2019 14:00:00,74150.0
03.01.2019 15:00:00,71600.0
03.01.2019 16:00:00,70700.0
03.01.2019 17:00:00,73600.0
03.01.2019 18:00:00,78050.0
03.01.2019 19:00:00,79550.0
03.01.2019 20:00:00,75750.0
03.01.2019 21:00:00,71800.0
03.01.2019 22:00:00,69950.0
03.01.2019 23:00:00,72800.0
04.01.2019 00:00:00,71800.0
04.01.2019 01:00:00,68900.0
04.01.2019 02:00:00,68050.0
04.01.2019 03:00:00,65750.0
04.01.2019 04:00:00,64650.0
04.01.2019 05:00:00,65850.0
04.01.2019 06:00:00,69250.0
04.01.2019 07:00:00,73700.0
04.01.2019 08:00:00,77250.0
04.01.2019 09:00:00,78600.0
04.01.2019 10:00:00,79700.0
04.01.2019 11:00:00,79850.0
04.01.2019 12:00:00,79950.0
04.01.2019 13:00:00,79250.0
04.01.2019 14:00:00,76550.0
04.01.2019 15:00:00,73450.0
04.01.2019 16:00:00,71900.0
04.01.2019 17:00:00,74550.0
04.01.2019 18:00:00,79000.0
04.01.2019 19:00:00,80300.0
04.01.2019 20:00:00,77250.0
04.01.2019 21:00:00,73800.0
04.01.2019 22:00:00,72650.0
04.01.2019 23:00:00,76300.0
05.01.2019 00:00:00,73300.0
05.01.2019 01:00:00,70300.0
05.01.2019 02:00:00,68900.0
05.01.2019 03:00:00,65500.0
05.01.2019 04:00:00,63500.0
05.01.2019 05:00:00,63600.0
05.01.2019 06:00:00,65050.0
05.01.2019 07:00:00,67150.0
05.01.2019 08:00:00,69350.0
05.01.2019 09:00:00,71550.0
05.01.2019 10:00:00,73700.0
05.01.2019 11:00:00,74250.0
05.01.2019 12:00:00,75100.0
05.01.2019 13:00:00,74550.0
05.01.2019 14:00:00,71250.0
05.01.2019 15:00:00,68150.0
05.01.2019 16:00:00,66450.0
05.01.2019 17:00:00,68900.0
05.01.2019 18:00:00,73100.0
05.01.2019 19:00:00,74500.0
05.01.2019 20:00:00,72450.0
05.01.2019 21:00:00,69750.0
05.01.2019 22:00:00,68950.0
05.01.2019 23:00:00,73000.0
06.01.2019 00:00:00,70450.0
06.01.2019 01:00:00,67550.0
06.01.2019 02:00:00,66400.0
06.01.2019 03:00:00,62750.0
06.01.2019 04:00:00,60650.0
06.01.2019 05:00:00,60150.0
06.01.2019 06:00:00,61050.0
06.01.2019 07:00:00,62200.0
06.01.2019 08:00:00,63950.0
06.01.2019 09:00:00,65650.0
06.01.2019 10:00:00,68300.0
06.01.2019 11:00:00,69750.0
06.01.2019 12:00:00,71800.0
06.01.2019 13:00:00,71850.0
06.01.2019 14:00:00,68100.0
06.01.2019 15:00:00,65300.0
06.01.2019 16:00:00,64000.0
06.01.2019 17:00:00,66100.0
06.01.2019 18:00:00,71000.0
06.01.2019 19:00:00,73450.0
06.01.2019 20:00:00,71800.0
06.01.2019 21:00:00,69150.0
06.01.2019 22:00:00,67700.0
06.01.2019 23:00:00,70750.0
07.01.2019 00:00:00,68400.0
07.01.2019 01:00:00,65900.0
07.01.2019 02:00:00,65600.0
07.01.2019 03:00:00,62500.0
07.01.2019 04:00:00,61200.0
07.01.2019 05:00:00,63800.0
07.01.2019 06:00:00,69800.0
07.01.2019 07:00:00,78350.0
07.01.2019 08:00:00,83000.0
07.01.2019 09:00:00,83200.0
07.01.2019 10:00:00,83400.0
07.01.2019 11:00:00,83400.0
07.01.2019 12:00:00,83450.0
07.01.2019 13:00:00,82700.0
07.01.2019 14:00:00,80550.0
07.01.2019 15:00:00,77450.0
07.01.2019 16:00:00,76050.0
07.01.2019 17:00:00,77650.0
07.01.2019 18:00:00,81350.0
07.01.2019 19:00:00,82300.0
07.01.2019 20:00:00,78300.0
07.01.2019 21:00:00,73650.0
07.01.2019 22:00:00,71150.0
07.01.2019 23:00:00,73750.0
08.01.2019 00:00:00,70400.0
08.01.2019 01:00:00,67500.0
08.01.2019 02:00:00,66650.0
08.01.2019 03:00:00,63450.0
08.01.2019 04:00:00,62000.0
08.01.2019 05:00:00,63750.0
08.01.2019 06:00:00,68800.0
08.01.2019 07:00:00,75950.0
08.01.2019 08:00:00,79500.0
08.01.2019 09:00:00,79400.0
08.01.2019 10:00:00,79500.0
08.01.2019 11:00:00,79550.0
08.01.2019 12:00:00,79600.0
08.01.2019 13:00:00,78850.0
08.01.2019 14:00:00,76800.0
08.01.2019 15:00:00,74250.0
08.01.2019 16:00:00,73400.0
08.01.2019 17:00:00,74900.0
08.01.2019 18:00:00,78850.0
08.01.2019 19:00:00,79900.0
08.01.2019 20:00:00,76300.0
08.01.2019 21:00:00,72100.0
08.01.2019 22:00:00,69900.0
08.01.2019 23:00:00,73150.0
09.01.2019 00:00:00,68400.0
09.01.2019 01:00:00,65350.0
09.01.2019 02:00:00,64450.0
09.01.2019 03:00:00,61450.0
09.01.2019 04:00:00,60100.0
09.01.2019 05:00:00,61750.0
09.01.2019 06:00:00,66250.0
09.01.2019 07:00:00,73050.0
09.01.2019 08:00:00,77150.0
09.01.2019 09:00:00,77900.0
09.01.2019 10:00:00,78200.0
09.01.2019 11:00:00,78150.0
09.01.2019 12:00:00,78150.0
09.01.2019 13:00:00,78400.0
09.01.2019 14:00:00,77100.0
09.01.2019 15:00:00,74400.0
09.01.2019 16:00:00,73650.0
09.01.2019 17:00:00,75500.0
09.01.2019 18:00:00,79100.0
09.01.2019 19:00:00,80800.0
09.01.2019 20:00:00,76800.0
09.01.2019 21:00:00,72800.0
09.01.2019 22:00:00,70850.0
09.01.2019 23:00:00,73900.0
10.01.2019 00:00:00,71750.0
10.01.2019 01:00:00,68550.0
10.01.2019 02:00:00,67600.0
10.01.2019 03:00:00,65200.0
10.01.2019 04:00:00,64050.0
10.01.2019 05:00:00,65850.0
10.01.2019 06:00:00,70600.0
10.01.2019 07:00:00,78100.0
10.01.2019 08:00:00,81950.0
10.01.2019 09:00:00,81600.0
10.01.2019 10:00:00,81400.0
10.01.2019 11:00:00,81300.0
10.01.2019 12:00:00,80850.0
10.01.2019 13:00:00,80250.0
10.01.2019 14:00:00,78600.0
10.01.2019 15:00:00,76100.0
10.01.2019 16:00:00,75750.0
10.01.2019 17:00:00,77800.0
10.01.2019 18:00:00,82650.0
10.01.2019 19:00:00,83950.0
10.01.2019 20:00:00,80400.0
10.01.2019 21:00:00,76550.0
10.01.2019 22:00:00,74800.0
10.01.2019 23:00:00,77350.0
11.01.2019 00:00:00,74550.0
11.01.2019 01:00:00,71450.0
11.01.2019 02:00:00,70550.0
11.01.2019 03:00:00,67950.0
11.01.2019 04:00:00,66250.0
11.01.2019 05:00:00,67950.0
11.01.2019 06:00:00,73100.0
11.01.2019 07:00:00,80450.0
11.01.2019 08:00:00,84550.0
11.01.2019 09:00:00,84300.0
11.01.2019 10:00:00,83800.0
11.01.2019 11:00:00,83450.0
11.01.2019 12:00:00,82800.0
11.01.2019 13:00:00,82300.0
11.01.2019 14:00:00,80150.0
11.01.2019 15:00:00,77400.0
11.01.2019 16:00:00,76100.0
11.01.2019 17:00:00,77550.0
11.01.2019 18:00:00,81750.0
11.01.2019 19:00:00,82250.0
11.01.2019 20:00:00,78800.0
11.01.2019 21:00:00,75250.0
11.01.2019 22:00:00,73450.0
11.01.2019 23:00:00,76200.0
12.01.2019 00:00:00,72800.0
12.01.2019 01:00:00,69800.0
12.01.2019 02:00:00,68750.0
12.01.2019 03:00:00,65450.0
12.01.2019 04:00:00,63300.0
12.01.2019 05:00:00,63200.0
12.01.2019 06:00:00,64550.0
12.01.2019 07:00:00,66950.0
12.01.2019 08:00:00,69400.0
12.01.2019 09:00:00,71650.0
12.01.2019 10:00:00,72800.0
12.01.2019 11:00:00,73000.0
12.01.2019 12:00:00,73800.0
12.01.2019 13:00:00,73200.0
12.01.2019 14:00:00,70000.0
12.01.2019 15:00:00,67450.0
12.01.2019 16:00:00,66350.0
12.01.2019 17:00:00,67250.0
12.01.2019 18:00:00,72050.0
12.01.2019 19:00:00,73650.0
12.01.2019 20:00:00,71500.0
12.01.2019 21:00:00,68450.0
12.01.2019 22:00:00,67500.0
12.01.2019 23:00:00,70850.0
13.01.2019 00:00:00,67400.0
13.01.2019 01:00:00,64700.0
13.01.2019 02:00:00,63700.0
13.01.2019 03:00:00,59900.0
13.01.2019 04:00:00,57100.0
13.01.2019 05:00:00,56300.0
13.01.2019 06:00:00,57000.0
13.01.2019 07:00:00,58050.0
13.01.2019 08:00:00,59700.0
13.01.2019 09:00:00,62000.0
13.01.2019 10:00:00,64500.0
13.01.2019 11:00:00,65650.0
13.01.2019 12:00:00,67350.0
13.01.2019 13:00:00,67000.0
13.01.2019 14:00:00,63300.0
13.01.2019 15:00:00,60500.0
13.01.2019 16:00:00,59350.0
13.01.2019 17:00:00,60350.0
13.01.2019 18:00:00,65800.0
13.01.2019 19:00:00,68700.0
13.01.2019 20:00:00,67000.0
13.01.2019 21:00:00,64100.0
13.01.2019 22:00:00,62550.0
13.01.2019 23:00:00,65450.0
14.01.2019 00:00:00,61500.0
14.01.2019 01:00:00,58500.0
14.01.2019 02:00:00,58050.0
14.01.2019 03:00:00,55050.0
14.01.2019 04:00:00,53600.0
14.01.2019 05:00:00,56100.0
14.01.2019 06:00:00,62050.0
14.01.2019 07:00:00,69550.0
14.01.2019 08:00:00,73650.0
14.01.2019 09:00:00,73650.0
14.01.2019 10:00:00,74000.0
14.01.2019 11:00:00,74250.0
14.01.2019 12:00:00,74500.0
14.01.2019 13:00:00,74000.0
14.01.2019 14:00:00,72300.0
14.01.2019 15:00:00,70050.0
14.01.2019 16:00:00,69350.0
14.01.2019 17:00:00,70950.0
14.01.2019 18:00:00,75800.0
14.01.2019 19:00:00,77300.0
14.01.2019 20:00:00,73550.0
14.01.2019 21:00:00,69350.0
14.01.2019 22:00:00,67450.0
14.01.2019 23:00:00,69900.0
15.01.2019 00:00:00,67100.0
15.01.2019 01:00:00,64000.0
15.01.2019 02:00:00,63500.0
15.01.2019 03:00:00,60700.0
15.01.2019 04:00:00,59400.0
15.01.2019 05:00:00,61300.0
15.01.2019 06:00:00,66700.0
15.01.2019 07:00:00,74300.0
15.01.2019 08:00:00,78050.0
15.01.2019 09:00:00,77350.0
15.01.2019 10:00:00,76800.0
15.01.2019 11:00:00,76200.0
15.01.2019 12:00:00,75550.0
15.01.2019 13:00:00,74700.0
15.01.2019 14:00:00,72650.0
15.01.2019 15:00:00,70200.0
15.01.2019 16:00:00,69200.0
15.01.2019 17:00:00,71050.0
15.01.2019 18:00:00,76500.0
15.01.2019 19:00:00,78800.0
15.01.2019 20:00:00,75250.0
15.01.2019 21:00:00,71100.0
15.01.2019 22:00:00,69200.0
15.01.2019 23:00:00,72050.0
16.01.2019 00:00:00,68850.0
16.01.2019 01:00:00,65700.0
16.01.2019 02:00:00,64800.0
16.01.2019 03:00:00,61700.0
16.01.2019 04:00:00,60500.0
16.01.2019 05:00:00,62300.0
16.01.2019 06:00:00,67100.0
16.01.2019 07:00:00,74200.0
16.01.2019 08:00:00,78200.0
16.01.2019 09:00:00,78150.0
16.01.2019 10:00:00,77400.0
16.01.2019 11:00:00,76750.0
